
2024/10/13 (23:14:38) | ===> btop++ v.1.4.0
2024/10/13 (23:14:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/13 (23:14:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/13 (23:14:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/13 (23:14:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/13 (23:14:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/13 (23:30:21) | ===> btop++ v.1.4.0
2024/10/13 (23:30:21) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/13 (23:30:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/13 (23:30:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/13 (23:30:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/13 (23:30:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/14 (01:37:59) | ===> btop++ v.1.4.0
2024/10/14 (01:37:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/14 (01:37:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/14 (01:37:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/14 (01:37:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/14 (01:37:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/14 (07:51:49) | ===> btop++ v.1.4.0
2024/10/14 (07:51:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/14 (07:51:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/14 (07:51:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/14 (07:51:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/14 (07:51:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/14 (08:41:05) | ===> btop++ v.1.4.0
2024/10/14 (08:41:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/14 (08:41:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/14 (08:41:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/14 (08:41:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/14 (08:41:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/14 (08:57:02) | ===> btop++ v.1.4.0
2024/10/14 (08:57:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/14 (08:57:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/14 (08:57:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/14 (08:57:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/14 (08:57:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/14 (17:27:22) | ===> btop++ v.1.4.0
2024/10/14 (17:27:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/14 (17:27:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/14 (17:27:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/14 (17:27:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/14 (17:27:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/15 (18:25:07) | ===> btop++ v.1.4.0
2024/10/15 (18:25:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/15 (18:25:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/15 (18:25:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/15 (18:25:07) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/15 (18:25:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/15 (20:18:09) | ===> btop++ v.1.4.0
2024/10/15 (20:18:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/15 (20:18:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/15 (20:18:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/15 (20:18:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/15 (20:18:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/16 (10:49:18) | ===> btop++ v.1.4.0
2024/10/16 (10:49:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/16 (10:49:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (10:49:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/16 (10:49:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/16 (10:49:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (22:28:33) | ===> btop++ v.1.4.0
2024/10/19 (22:28:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (22:28:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (22:28:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (22:28:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (22:28:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (21:29:40) | ===> btop++ v.1.4.0
2024/10/21 (21:29:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/21 (21:29:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (21:29:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (21:29:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/21 (21:29:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (21:30:40) | ===> btop++ v.1.4.0
2024/10/21 (21:30:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/21 (21:30:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (21:30:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (21:30:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/21 (21:30:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (21:31:16) | ===> btop++ v.1.4.0
2024/10/21 (21:31:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/21 (21:31:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (21:31:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (21:31:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/21 (21:31:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/05 (14:54:22) | ===> btop++ v.1.4.0
2024/11/05 (14:54:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/05 (14:54:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/05 (14:54:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/05 (14:54:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/05 (14:54:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/16 (18:14:18) | ===> btop++ v.1.4.0
2024/11/16 (18:14:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/16 (18:14:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/16 (18:14:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/16 (18:14:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/16 (18:14:18) | WARNING: ROCm SMI: Failed to get PCIe throughput
